FINN|delisting date|02 mar 2021|-
BORN|delisting date|20 jan 2020|-
GREN|delisting date|23 nov 2020|-
APOL|delisting date|06 apr 2020|-
SCBD|delisting date|20 apr 2020|-
ITTG|delisting date|23 jan 2020|-
CKRA|delisting date|28 ags 2020|-
NAGA|delisting date|23 ags 2019|-
SIAP|delisting date|17 jun 2019|-
ATPK|delisting date|30 sep 2019|-
BBNP|delisting date|02 mei 2019|-
GMCW|delisting date|13 ags 2019|-
TMPI|delisting date|11 nov 2019|-
DAJK|delisting date|18 mei 2018|-
TRUB|delisting date|12 sep 2018|-
JPRS|delisting date|08 okt 2018|-
SQBB|delisting date|21 mar 2018|-
